tipo,genero,apellido1,apellido2,nombre_a,nombre_b,estrategia,forma_a,forma_b,ipa_a,ipa_b,ganador,fuente,modelo,error
T2,F,García,,Julia,Rocío,contraste,Julia García,Rocío García,xˈulja,ɾɾosˈio,A,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Alejandra,Emilia,aleatorio,Alejandra García,Emilia García,ˌalexˈandɾa,emˈilja,B,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Emma,Luna,aleatorio,Emma García,Luna García,ˈemma,lˈuna,B,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Manuela,Cecilia,dificil,Manuela García,Cecilia García,manwˈela,sesˈilja,B,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Rocío,Amelia,contraste,Rocío García,Amelia García,ɾɾosˈio,amˈelja,B,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Diana,Julia,dificil,Diana García,Julia García,djˈana,xˈulja,A,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Emilia,Amelia,dificil,Emilia García,Amelia García,emˈilja,amˈelja,B,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Victoria,Rocío,contraste,Victoria García,Rocío García,biktˈoɾja,ɾɾosˈio,B,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Catalina,María,dificil,Catalina García,María García,kˌatalˈina,maɾˈia,A,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Olivia,Rocío,contraste,Olivia García,Rocío García,olˈiβja,ɾɾosˈio,A,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Irene,Sara,aleatorio,Irene García,Sara García,iɾˈene,sˈaɾa,B,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Rocío,Valeria,contraste,Rocío García,Valeria García,ɾɾosˈio,balˈeɾja,B,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Ramona,Cecilia,dificil,Ramona García,Cecilia García,ɾɾamˈona,sesˈilja,B,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Martina,Cecilia,dificil,Martina García,Cecilia García,maɾtˈina,sesˈilja,B,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Regina,Irene,aleatorio,Regina García,Irene García,ɾɾexˈina,iɾˈene,B,llm,anthropic/claude-4.6-sonnet-20260217,
T2,F,García,,Valeria,Regina,aleatorio,Valeria García,Regina García,balˈeɾja,ɾɾexˈina,A,llm,anthropic/claude-4.6-sonnet-20260217,
